28,MAGG3,59.40,-119.98,1.32,0.684,0.00,0.440,9.32,4.07,-1.55,6.41,5.34,0.1682,-0.0057,1.14,0.1405,-0.011,0.00,2246130000.00,1.03,0.0927,158769180193
29,BTOW3,72.80,-119.69,6.64,5.628,0.00,2.372,8.27,247.40,-42.78,247.08,56.22,0.0227,-0.047,1.95,0.0226,-0.0555,268352000.00,5734430000.00,1.12,-0.0819,158769180193
30,BNCA3,70.30,-90.30,2.45,0.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.0272,0.00,3068150000.00,0.00,0.0241,158769180193
31,BBTG12,3.15,-76.74,10230.20,0.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-133.308,0.00,26000.00,0.00,0.00,158769180193
32,NORD3,3.70,-74.24,-0.18,18.040,0.00,1.461,-0.51,-28.16,-0.16,-70.96,-70.96,-0.6406,-0.243,0.02,-0.0529,0.0024,17436.10,-139296000.00,-0.27,0.549,158769180193
33,AMIL3,32.20,-73.28,7.70,1.129,0.00,2.003,-16.95,136.58,-5.43,138.61,50.13,0.0083,-0.0153,0.75,0.0222,-0.1051,0.00,1532980000.00,1.24,0.2847,158769180193
34,BRTP3,35.71,-67.26,2.45,1.168,0.00,0.684,8.98,6.03,-2.40,7.55,7.55,0.1937,-0.0296,1.29,0.1341,-0.0364,0.00,5302340000.00,0.91,0.0366,158769180193
35,MGEL3,25.00,-66.50,-0.39,0.260,0.00,0.394,1.03,2.47,-0.27,12.98,9.88,0.105,-0.0116,3.05,0.1974,0.0059,0.00,-370634000.00,-1.77,0.0657,158769180193
36,PRNR3,8.79,-54.74,4.50,0.959,0.00,1.396,10.23,48.03,-9.02,53.99,14.10,0.02,-0.031,1.34,0.0376,-0.0822,2056900.00,74328000.00,1.16,0.213,158769180193
37,PEFX5,19.00,-52.04,1.68,0.477,0.00,0.597,20.34,5.75,-3.18,6.59,0.00,0.083,-0.0092,1.07,0.1177,-0.0324,0.00,396955000.00,0.31,0.0436,158769180193
